"","ensembl.id","symbol","biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EIF2AK1","ENSG00000086232","EIF2AK1","protein_coding",3628.034971,0.190037534,0.07950662,2.390210195,0.016838733,0.045773164
"EIF2S2","ENSG00000125977","EIF2S2","protein_coding",1626.307661,-0.557939194,0.108187911,-5.15713069,2.51e-07,2.35e-06
"ELMO2","ENSG00000062598","ELMO2","protein_coding",597.7705024,-0.215462154,0.092154171,-2.338061878,0.019384038,0.051620402
"ELOVL4","ENSG00000118402","ELOVL4","protein_coding",222.8794626,-0.566648393,0.135374023,-4.185798568,2.84e-05,0.000171516
"ELOVL5","ENSG00000012660","ELOVL5","protein_coding",4046.308862,0.621496733,0.083722755,7.423271441,1.14e-13,2.87e-12
"EML4","ENSG00000143924","EML4","protein_coding",1130.178218,0.445959692,0.079947666,5.578145258,2.43e-08,2.73e-07
"EMP2","ENSG00000213853","EMP2","protein_coding",2355.753745,0.577718253,0.091687492,6.30094945,2.96e-10,4.47e-09
"ENPP1","ENSG00000197594","ENPP1","protein_coding",297.0460527,0.823878952,0.133817758,6.156723598,7.43e-10,1.05e-08
"ENPP5","ENSG00000112796","ENPP5","protein_coding",152.2122832,0.359322713,0.159935672,2.246670229,0.02466111,0.063096621
"ENTPD6","ENSG00000197586","ENTPD6","protein_coding",3113.320414,0.311503224,0.087798308,3.547941094,0.000388255,0.001753845
"EPHA4","ENSG00000116106","EPHA4","protein_coding",118.3678137,-0.592040815,0.170393173,-3.474557135,0.000511697,0.002244396
"ERBB2IP","ENSG00000112851","ERBB2IP","protein_coding",937.8684474,-0.441390711,0.106214265,-4.155663202,3.24e-05,0.000192821
"ERGIC1","ENSG00000113719","ERGIC1","protein_coding",5264.137944,0.601266291,0.086590751,6.943770381,3.82e-12,7.84e-11
"ERMAP","ENSG00000164010","ERMAP","protein_coding",211.385115,-0.353038141,0.124608401,-2.833180903,0.00460873,0.015133088
"ESCO2","ENSG00000171320","ESCO2","protein_coding",199.5257555,0.50924316,0.150530156,3.382997618,0.000716993,0.003022092
"EVI5","ENSG00000067208","EVI5","protein_coding",296.8654331,-0.470802305,0.126255678,-3.72895945,0.000192272,0.000934469
"EVI5L","ENSG00000142459","EVI5L","protein_coding",417.1131897,-0.378037351,0.124325584,-3.040704414,0.002360254,0.008485688
"FAM117B","ENSG00000138439","FAM117B","protein_coding",125.7032513,0.555090717,0.170580472,3.254128165,0.00113741,0.004482779
"FAM120C","ENSG00000184083","FAM120C","protein_coding",257.0532719,-0.465386159,0.125389855,-3.711513661,0.000206024,0.000992398
"FAM122A","ENSG00000187866","FAM122A","protein_coding",135.8047621,-0.454931705,0.159221409,-2.857226966,0.004273601,0.014166954
"FAM122C","ENSG00000156500","FAM122C","protein_coding",44.94543976,-0.574114791,0.228752205,-2.509767242,0.012081076,0.034671063
"FAM131B","ENSG00000159784","FAM131B","protein_coding",540.4189796,0.368792827,0.12010544,3.070575553,0.002136466,0.007773558
"FAM13A","ENSG00000138640","FAM13A","protein_coding",200.913485,-0.332645104,0.135071767,-2.462728598,0.013788424,0.038807366
"FAM167A","ENSG00000154319","FAM167A","protein_coding",32.62935318,-1.923910932,0.266496992,-7.219259469,5.23e-13,1.21e-11
"FAM177A1","ENSG00000151327","FAM177A1","protein_coding",465.7795936,0.252262434,0.122407592,2.060839762,0.03931833,0.093147906
"FAM20C","ENSG00000177706","FAM20C","protein_coding",2717.858724,1.161153516,0.112439521,10.32691628,5.32e-25,4.01e-23
"FAM210B","ENSG00000124098","FAM210B","protein_coding",1439.738366,0.228761914,0.087579926,2.61203593,0.009000479,0.026991267
"FAM60A","ENSG00000139146","FAM60A","protein_coding",347.5955334,-0.436601486,0.123233843,-3.542870002,0.000395798,0.001783074
"FAM69A","ENSG00000154511","FAM69A","protein_coding",228.3548368,1.040687287,0.1433605,7.259233129,3.89e-13,9.19e-12
"FAM84A","ENSG00000162981","FAM84A","protein_coding",561.7254415,1.336875682,0.138744284,9.635536973,5.66e-22,3.36e-20
"FANCE","ENSG00000112039","FANCE","protein_coding",130.4590483,0.943717395,0.163659828,5.766335009,8.1e-09,9.8e-08
"FBXL16","ENSG00000127585","FBXL16","protein_coding",71.8013854,0.81725556,0.224705627,3.637005316,0.000275826,0.0012905
"FGFRL1","ENSG00000127418","FGFRL1","protein_coding",913.6802524,0.337002174,0.102070307,3.301667082,0.000961121,0.003889393
"FHOD3","ENSG00000134775","FHOD3","protein_coding",416.3257309,-0.392413285,0.113440684,-3.45919356,0.000541795,0.002361461
"FLNC","ENSG00000128591","FLNC","protein_coding",826.1232577,-0.381463885,0.121564084,-3.137965371,0.00170125,0.006397191
"FNDC3A","ENSG00000102531","FNDC3A","protein_coding",639.102374,-0.76963221,0.110845631,-6.943279588,3.83e-12,7.85e-11
"FNDC3B","ENSG00000075420","FNDC3B","protein_coding",2658.508876,-0.255080056,0.093979273,-2.714216095,0.006643282,0.020760099
"FOXN2","ENSG00000170802","FOXN2","protein_coding",321.6438899,-0.4095592,0.122247689,-3.350240837,0.000807413,0.003345544
"FOXRED2","ENSG00000100350","FOXRED2","protein_coding",63.11285165,3.570734813,0.292807282,12.19482928,3.31e-34,4.41e-32
"FRMPD4","ENSG00000169933","FRMPD4","protein_coding",26.24152117,0.861933427,0.309411759,2.785716451,0.005340957,0.017199606
"FUCA2","ENSG00000001036","FUCA2","protein_coding",1741.578579,0.323151954,0.090353148,3.57654339,0.000348168,0.001590912
"FUT11","ENSG00000196968","FUT11","protein_coding",582.5697276,0.622182071,0.118710956,5.241151217,1.6e-07,1.55e-06
"FZD5","ENSG00000163251","FZD5","protein_coding",212.024235,0.958420838,0.135401407,7.078366916,1.46e-12,3.17e-11
"G2E3","ENSG00000092140","G2E3","protein_coding",846.2881722,0.379632007,0.092061256,4.12368918,3.73e-05,0.000218379
"GABRB3","ENSG00000166206","GABRB3","protein_coding",281.0320906,-0.388035133,0.125865218,-3.082941735,0.002049653,0.00750862
"GADD45B","ENSG00000099860","GADD45B","protein_coding",408.0490644,-1.156212199,0.123157079,-9.388109916,6.11e-21,3.4e-19
"GALNT13","ENSG00000144278","GALNT13","protein_coding",27.37053283,2.330920285,0.3041875,7.662774732,1.82e-14,5e-13
"GAPDH","ENSG00000111640","GAPDH","protein_coding",19682.47345,0.485110811,0.099226959,4.888901316,1.01e-06,8.41e-06
"GAS6","ENSG00000183087","GAS6","protein_coding",582.0448163,-0.276900617,0.112316503,-2.465360038,0.013687564,0.038566435
"GCLC","ENSG00000001084","GCLC","protein_coding",1084.447181,-0.427244569,0.11277233,-3.788558501,0.000151524,0.000758897
"GDAP1","ENSG00000104381","GDAP1","protein_coding",489.8037043,-0.538107094,0.111993273,-4.804816227,1.55e-06,1.23e-05
"GHR","ENSG00000112964","GHR","protein_coding",42.06412192,0.976205351,0.251318272,3.884338946,0.000102609,0.00053586
"GIGYF2","ENSG00000204120","GIGYF2","protein_coding",998.4687338,0.181477409,0.081195108,2.235078121,0.025412221,0.064729535
"GINS3","ENSG00000181938","GINS3","protein_coding",153.9808314,0.598794613,0.164348151,3.643452084,0.000269006,0.001262141
"GJC1","ENSG00000182963","GJC1","protein_coding",638.2067172,0.616247465,0.12498284,4.930656604,8.2e-07,6.91e-06
"GK","ENSG00000198814","GK","protein_coding",35.56279895,-1.491003314,0.264764439,-5.631433427,1.79e-08,2.06e-07
"GLI2","ENSG00000074047","GLI2","protein_coding",26.06436609,0.893377611,0.297598929,3.001951704,0.002682547,0.009502067
"GLI3","ENSG00000106571","GLI3","protein_coding",318.0199763,1.725671319,0.143644955,12.01344885,3.02e-33,3.86e-31
"GLIPR2","ENSG00000122694","GLIPR2","protein_coding",155.1304529,0.411570036,0.156402837,2.63147424,0.008501531,0.025707121
"GLS","ENSG00000115419","GLS","protein_coding",1056.035943,0.211534475,0.089288496,2.369112316,0.017830838,0.048030321
"GNL1","ENSG00000204590","GNL1","protein_coding",710.8701777,0.194881819,0.086305344,2.258050437,0.023942515,0.061608812
"GNS","ENSG00000135677","GNS","protein_coding",4561.003413,0.199878512,0.094252582,2.120668812,0.033949683,0.082302861
"GOLPH3L","ENSG00000143457","GOLPH3L","protein_coding",567.3958596,-0.410949188,0.097761899,-4.203572069,2.63e-05,0.000160263
"GOSR2","ENSG00000108433","GOSR2","protein_coding",526.4069086,-0.42086824,0.096805233,-4.347577363,1.38e-05,8.91e-05
"GPM6B","ENSG00000046653","GPM6B","protein_coding",17.4056077,2.712368412,0.339033483,8.000296564,1.24e-15,3.98e-14
"GPR17","ENSG00000144230","GPR17","protein_coding",72.68047439,-0.584185021,0.212424923,-2.75007759,0.005958115,0.018910392
"GPR97","ENSG00000182885","GPR97","protein_coding",4.315941678,-1.438716873,0.360638563,-3.989359483,6.63e-05,0.000366968
"GRB7","ENSG00000141738","GRB7","protein_coding",461.0039651,-0.368341651,0.129149788,-2.852049992,0.004343827,0.014365384
"GSK3B","ENSG00000082701","GSK3B","protein_coding",2177.514655,-0.527002288,0.090878036,-5.799006151,6.67e-09,8.14e-08
"GTF2H1","ENSG00000110768","GTF2H1","protein_coding",501.2078829,-0.261185216,0.107820065,-2.42241753,0.015417625,0.042578353
"GTPBP6","ENSG00000178605","GTPBP6","protein_coding",164.2702231,0.732649256,0.18039886,4.061274322,4.88e-05,0.000279552
"H2AFJ","ENSG00000246705","H2AFJ","protein_coding",215.2858845,0.422015183,0.150958492,2.795571006,0.005180812,0.016760027
"H2AFY2","ENSG00000099284","H2AFY2","protein_coding",700.3326158,0.482943308,0.106228038,4.546288496,5.46e-06,3.84e-05
"HDAC4","ENSG00000068024","HDAC4","protein_coding",159.5668446,0.451989142,0.151481071,2.983799476,0.002846933,0.010003973
"HDHD1","ENSG00000130021","HDHD1","protein_coding",226.1994364,0.995045825,0.141206873,7.046723734,1.83e-12,3.93e-11
"HEATR1","ENSG00000119285","HEATR1","protein_coding",1388.599454,-0.18334412,0.089911474,-2.039162652,0.041433797,0.097050454
"HEG1","ENSG00000173706","HEG1","protein_coding",615.498183,-0.459995351,0.128777995,-3.572002727,0.000354262,0.001615651
"HHIPL1","ENSG00000182218","HHIPL1","protein_coding",11.5738427,-1.725436235,0.352940299,-4.888748151,1.01e-06,8.41e-06
"HIATL1","ENSG00000148110","HIATL1","protein_coding",1065.436646,0.340863459,0.089649165,3.80219336,0.000143421,0.00072201
"HMGB3","ENSG00000029993","HMGB3","protein_coding",1507.716324,0.330675539,0.107250552,3.083205941,0.002047834,0.00750361
"HOXC8","ENSG00000037965","HOXC8","protein_coding",73.77640975,-0.554973645,0.189109116,-2.934674206,0.003338981,0.01148543
"HPGD","ENSG00000164120","HPGD","protein_coding",1443.733411,0.381247667,0.128211804,2.973576956,0.002943506,0.010288967
"HPSE","ENSG00000173083","HPSE","protein_coding",198.8954942,0.335392132,0.135461615,2.475920087,0.013289332,0.037606367
"ICK","ENSG00000112144","ICK","protein_coding",337.8886281,0.558311451,0.120933603,4.616677541,3.9e-06,2.83e-05
"IFFO2","ENSG00000169991","IFFO2","protein_coding",304.8671947,-0.375994268,0.113760313,-3.305144447,0.000949275,0.003850827
"IFI16","ENSG00000163565","IFI16","protein_coding",66.49701052,-1.973174646,0.21093937,-9.354226514,8.42e-21,4.61e-19
"IFT57","ENSG00000114446","IFT57","protein_coding",465.8136035,-0.608681541,0.106475272,-5.71664695,1.09e-08,1.29e-07
"IGF1R","ENSG00000140443","IGF1R","protein_coding",137.8920148,0.825785047,0.165142289,5.000445691,5.72e-07,5.02e-06
"IGF2","ENSG00000167244","IGF2","protein_coding",23.25234933,0.890937743,0.303851638,2.932147242,0.003366271,0.011564949
"IGFBP2","ENSG00000115457","IGFBP2","protein_coding",354.3775221,2.188336008,0.143247917,15.27656423,1.1e-52,4.92e-50
"IL13RA2","ENSG00000123496","IL13RA2","protein_coding",179.6273514,-1.997991661,0.156893363,-12.73471118,3.79e-37,6.12e-35
"IL17RE","ENSG00000163701","IL17RE","protein_coding",166.0506647,0.56735246,0.173528564,3.269504728,0.001077359,0.0042847
"IL20RB","ENSG00000174564","IL20RB","protein_coding",114.1917788,-3.236803492,0.225665231,-14.34338589,1.17e-46,3.3e-44
"IL22RA1","ENSG00000142677","IL22RA1","protein_coding",38.23098946,1.182753669,0.258294307,4.579093069,4.67e-06,3.34e-05
"IL24","ENSG00000162892","IL24","protein_coding",176.5631531,-3.161880946,0.179337045,-17.63094144,1.43e-69,1.32e-66
"IL32","ENSG00000008517","IL32","protein_coding",46.82580948,-1.869514609,0.250542679,-7.461860849,8.53e-14,2.17e-12
"IL6R","ENSG00000160712","IL6R","protein_coding",232.4338012,0.373097271,0.145008699,2.572930266,0.010084152,0.029683003
"IL6ST","ENSG00000134352","IL6ST","protein_coding",2272.873935,-0.263632281,0.111762759,-2.358856229,0.018331356,0.049179379
"INHBA","ENSG00000122641","INHBA","protein_coding",10148.88322,-0.782774531,0.104492894,-7.491174781,6.83e-14,1.75e-12
"INPP5B","ENSG00000204084","INPP5B","protein_coding",168.3502396,0.2882368,0.140838366,2.046578698,0.040699468,0.095748551
"INSIG1","ENSG00000186480","INSIG1","protein_coding",1692.834756,0.598012609,0.108626623,5.505212172,3.69e-08,4e-07
"INSIG2","ENSG00000125629","INSIG2","protein_coding",475.2481891,0.784846044,0.102901611,7.627150219,2.4e-14,6.48e-13
"INTS2","ENSG00000108506","INTS2","protein_coding",898.438358,0.465513419,0.097878337,4.756041366,1.97e-06,1.54e-05
"INTS6","ENSG00000102786","INTS6","protein_coding",624.7351586,-1.239939007,0.118555959,-10.45868142,1.34e-25,1.03e-23
"INVS","ENSG00000119509","INVS","protein_coding",137.0457013,-0.516974217,0.153558821,-3.366620114,0.000760954,0.003184226
"IPO9","ENSG00000198700","IPO9","protein_coding",1496.714063,0.411733958,0.098477093,4.181012514,2.9e-05,0.00017478
"IQGAP1","ENSG00000140575","IQGAP1","protein_coding",5176.778696,0.296129932,0.090301572,3.279344156,0.001040487,0.004164952
"IQSEC2","ENSG00000124313","IQSEC2","protein_coding",410.8498635,-0.68765531,0.116499051,-5.902668792,3.58e-09,4.57e-08
"IRS2","ENSG00000185950","IRS2","protein_coding",165.6227703,-1.018828569,0.148954662,-6.839856886,7.93e-12,1.55e-10
"JDP2","ENSG00000140044","JDP2","protein_coding",173.0849471,-0.933083779,0.173179122,-5.387969207,7.13e-08,7.34e-07
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"JMJD8","ENSG00000161999","JMJD8","protein_coding",727.8942893,0.418404186,0.114774538,3.6454443,0.00026693,0.001253818
"KALRN","ENSG00000160145","KALRN","protein_coding",53.24625914,0.862151386,0.22378858,3.852526275,0.000116905,0.000602574
"KANK1","ENSG00000107104","KANK1","protein_coding",555.215246,0.235541256,0.099939855,2.356830084,0.018431678,0.049416632
"KAT6A","ENSG00000083168","KAT6A","protein_coding",795.289854,-0.432731596,0.102139852,-4.236657737,2.27e-05,0.00014034
"KATNAL1","ENSG00000102781","KATNAL1","protein_coding",135.0073421,0.748055246,0.190731869,3.922025452,8.78e-05,0.000469022
"KCMF1","ENSG00000176407","KCMF1","protein_coding",1028.323542,-0.447710012,0.101441333,-4.413487089,1.02e-05,6.76e-05
"KCNC3","ENSG00000131398","KCNC3","protein_coding",98.67096037,0.878664335,0.21130659,4.158243876,3.21e-05,0.000190861
"KCNC4","ENSG00000116396","KCNC4","protein_coding",97.90688881,0.583107991,0.188127471,3.099536655,0.001938236,0.007141367
"KCNK9","ENSG00000169427","KCNK9","protein_coding",3.549903893,-1.047290359,0.358134206,-2.924295809,0.003452365,0.01180706
"KCNMA1","ENSG00000156113","KCNMA1","protein_coding",702.9804324,1.915347245,0.120179357,15.93740631,3.49e-57,2.15e-54
"KCNMB4","ENSG00000135643","KCNMB4","protein_coding",48.06697959,1.244844724,0.256149699,4.859832858,1.17e-06,9.6e-06
"KIAA0040","ENSG00000235750","KIAA0040","protein_coding",572.4249598,0.806744447,0.102948176,7.836413209,4.64e-15,1.41e-13
"KIAA0319","ENSG00000137261","KIAA0319","protein_coding",52.66500737,1.726096856,0.24299436,7.103444106,1.22e-12,2.7e-11
"KIAA1161","ENSG00000164976","KIAA1161","protein_coding",339.619037,0.555900489,0.123714365,4.493419083,7.01e-06,4.81e-05
"KIAA1211","ENSG00000109265","KIAA1211","protein_coding",21.60353947,0.660918581,0.293673055,2.250525101,0.024415632,0.062606635
"KIAA1244","ENSG00000112379","KIAA1244","protein_coding",705.5751835,0.304458615,0.12012425,2.534530835,0.011259802,0.032697866
"KIAA1549","ENSG00000122778","KIAA1549","protein_coding",1196.578042,0.399494219,0.104935687,3.807038679,0.000140641,0.000709932
"KIAA1644","ENSG00000138944","KIAA1644","protein_coding",19.54312082,2.626139724,0.326853911,8.034597821,9.39e-16,3.05e-14
"KIAA1671","ENSG00000197077","KIAA1671","protein_coding",1035.185216,0.356531697,0.109855081,3.245472969,0.001172557,0.004599499
"KIF12","ENSG00000136883","KIF12","protein_coding",40.84663586,1.563810369,0.278695456,5.611180009,2.01e-08,2.29e-07
"KLF13","ENSG00000169926","KLF13","protein_coding",598.0054363,-0.985661627,0.117155767,-8.413257435,3.99e-17,1.52e-15
"KLF8","ENSG00000102349","KLF8","protein_coding",3.584582226,-1.107130872,0.354839113,-3.120092544,0.001807942,0.006726888
"KLHL12","ENSG00000117153","KLHL12","protein_coding",434.9648296,-0.371645667,0.111832346,-3.323239472,0.000889785,0.003639691
"KLHL15","ENSG00000174010","KLHL15","protein_coding",308.6559737,-1.288093854,0.109321245,-11.782649,4.8e-32,5.74e-30
"KLHL23","ENSG00000213160","KLHL23","protein_coding",279.4109319,0.501413175,0.13157504,3.810853297,0.000138488,0.000700784
"KLHL25","ENSG00000183655","KLHL25","protein_coding",70.10677369,0.429629653,0.202292792,2.123801097,0.033686779,0.081713168
"KLHL31","ENSG00000124743","KLHL31","protein_coding",40.9846926,-0.68341857,0.258994585,-2.638736909,0.008321553,0.025263975
"KLHL7","ENSG00000122550","KLHL7","protein_coding",444.2349359,0.239789877,0.102859676,2.331233071,0.019741073,0.052377512
"KLHL9","ENSG00000198642","KLHL9","protein_coding",472.7776853,-0.268387122,0.101467752,-2.645048472,0.008167922,0.024870207
"KSR2","ENSG00000171435","KSR2","protein_coding",62.57914393,1.054046182,0.225711809,4.669876105,3.01e-06,2.26e-05
"LAMP3","ENSG00000078081","LAMP3","protein_coding",352.2806164,-0.477992836,0.15869971,-3.011932643,0.002595902,0.009229133
"LARP6","ENSG00000166173","LARP6","protein_coding",340.4084317,-0.840118504,0.125539929,-6.692042188,2.2e-11,3.97e-10
"LASP1","ENSG00000002834","LASP1","protein_coding",3205.302735,-0.185296285,0.087005408,-2.129709985,0.033195564,0.080757255
"LATS1","ENSG00000131023","LATS1","protein_coding",374.0730205,-0.334108814,0.128112494,-2.607933102,0.009109075,0.027246934
"LATS2","ENSG00000150457","LATS2","protein_coding",273.2727543,-0.68695554,0.120131585,-5.718359077,1.08e-08,1.28e-07
"LCP1","ENSG00000136167","LCP1","protein_coding",4957.630393,-0.333100569,0.09675779,-3.442622731,0.000576102,0.002496594
"LDB3","ENSG00000122367","LDB3","protein_coding",40.78181137,-1.866833819,0.267505335,-6.978678844,2.98e-12,6.2e-11
"LDOC1L","ENSG00000188636","LDOC1L","protein_coding",619.5234323,-0.354524112,0.090495588,-3.917584478,8.94e-05,0.000477132
"LEPREL1","ENSG00000090530","LEPREL1","protein_coding",440.9846523,-1.596991231,0.106108388,-15.05056536,3.42e-51,1.36e-48
"LGALS8","ENSG00000116977","LGALS8","protein_coding",2090.497611,-0.695904418,0.094085317,-7.396525199,1.4e-13,3.46e-12
"LHFP","ENSG00000183722","LHFP","protein_coding",160.1868697,0.800367099,0.144886098,5.524112454,3.31e-08,3.63e-07
"LIMK1","ENSG00000106683","LIMK1","protein_coding",656.6234533,0.25452895,0.106199275,2.396710818,0.016542974,0.04507974
"LMF1","ENSG00000103227","LMF1","protein_coding",218.7828896,0.344064789,0.13808299,2.491724637,0.012712455,0.036189472
"LOXL4","ENSG00000138131","LOXL4","protein_coding",184.8595711,-1.269826967,0.14236961,-8.919227655,4.7e-19,2.24e-17
"LRFN1","ENSG00000128011","LRFN1","protein_coding",40.28280602,0.859299894,0.265018523,3.242414472,0.001185215,0.004643675
"LRP8","ENSG00000157193","LRP8","protein_coding",2301.747987,0.965880539,0.102814049,9.394441242,5.75e-21,3.22e-19
"LRPAP1","ENSG00000163956","LRPAP1","protein_coding",1164.225189,0.260854735,0.080975299,3.221411217,0.00127561,0.004945404
"LRPPRC","ENSG00000138095","LRPPRC","protein_coding",3385.197549,-0.36393603,0.090586331,-4.017560092,5.88e-05,0.000329889
"LRRC14","ENSG00000160959","LRRC14","protein_coding",1616.471395,0.373879401,0.136298753,2.743087471,0.006086447,0.019241883
"LRRC59","ENSG00000108829","LRRC59","protein_coding",5262.301066,-0.240402488,0.087715279,-2.740713931,0.006130586,0.019365384
"LRRC8B","ENSG00000197147","LRRC8B","protein_coding",986.2105746,0.435700467,0.099498501,4.378965136,1.19e-05,7.83e-05
"LYRM5","ENSG00000205707","LYRM5","protein_coding",110.4621088,-0.539273953,0.171631764,-3.142040505,0.001677748,0.006318822
"MAFF","ENSG00000185022","MAFF","protein_coding",330.0248224,-0.821003731,0.130897795,-6.272097499,3.56e-10,5.28e-09
"MAGI2","ENSG00000187391","MAGI2","protein_coding",7.539057678,-1.153950146,0.364469912,-3.166105373,0.001544948,0.005870521
"MAP1LC3B","ENSG00000140941","MAP1LC3B","protein_coding",470.9613154,-0.570439012,0.117780143,-4.843252855,1.28e-06,1.04e-05
"MAP2","ENSG00000078018","MAP2","protein_coding",65.09363424,-0.640748729,0.199810333,-3.206784751,0.001342274,0.005180903
"MAP4K4","ENSG00000071054","MAP4K4","protein_coding",2917.655183,0.261289207,0.083522235,3.128379019,0.001757734,0.006572429
"MAP6D1","ENSG00000180834","MAP6D1","protein_coding",90.47132104,0.423478833,0.192785093,2.196636811,0.028046395,0.070213107
"MAP7D1","ENSG00000116871","MAP7D1","protein_coding",607.3217835,-0.217991898,0.101322957,-2.151456144,0.031440214,0.077234709
"MAPRE3","ENSG00000084764","MAPRE3","protein_coding",303.9646011,-0.359819832,0.111232939,-3.23483167,0.001217145,0.004746407
"MARK1","ENSG00000116141","MARK1","protein_coding",78.20363279,-1.621402204,0.208927315,-7.760604222,8.45e-15,2.44e-13
"MARK4","ENSG00000007047","MARK4","protein_coding",216.7110932,-0.40757282,0.131972399,-3.088318634,0.002012925,0.007385359
"MBNL1","ENSG00000152601","MBNL1","protein_coding",2095.18731,0.210849964,0.080345308,2.624297167,0.008682799,0.02618382
"MBNL2","ENSG00000139793","MBNL2","protein_coding",423.6465657,-1.148185434,0.127411138,-9.011656692,2.03e-19,9.87e-18
"MCM5","ENSG00000100297","MCM5","protein_coding",626.9598581,1.001924761,0.20782682,4.820959874,1.43e-06,1.15e-05
"MCM8","ENSG00000125885","MCM8","protein_coding",765.0915119,0.451986525,0.105943448,4.266299924,1.99e-05,0.000124376
"MDFIC","ENSG00000135272","MDFIC","protein_coding",351.2777874,0.385652882,0.114526974,3.367354148,0.000758932,0.003177118
"ME2","ENSG00000082212","ME2","protein_coding",303.9596282,-0.560685412,0.127527176,-4.396595539,1.1e-05,7.26e-05
"MED13","ENSG00000108510","MED13","protein_coding",1677.835836,-0.313865591,0.105524937,-2.974326254,0.002936327,0.010274673
"MEF2A","ENSG00000068305","MEF2A","protein_coding",444.8944419,-0.323437492,0.106625697,-3.033391599,0.002418216,0.008660003
"MEF2C","ENSG00000081189","MEF2C","protein_coding",53.0259416,0.92514985,0.247252244,3.741724782,0.000182762,0.000893286
"MEF2D","ENSG00000116604","MEF2D","protein_coding",793.7850525,-0.593204271,0.099620879,-5.954617911,2.61e-09,3.42e-08
"MEGF8","ENSG00000105429","MEGF8","protein_coding",649.0805338,-0.237488062,0.109283676,-2.173133904,0.029770241,0.073960789
"METTL14","ENSG00000145388","METTL14","protein_coding",210.0721057,-0.294692311,0.130792583,-2.253127092,0.024251137,0.062291743
"METTL21A","ENSG00000144401","METTL21A","protein_coding",155.3615918,0.801128554,0.16576681,4.832864626,1.35e-06,1.09e-05
"METTL8","ENSG00000123600","METTL8","protein_coding",286.7959786,0.367598917,0.133084851,2.762139462,0.005742394,0.018309594
"METTL9","ENSG00000197006","METTL9","protein_coding",928.4427492,0.351951155,0.093736242,3.754696653,0.000173552,0.000853791
"MEX3A","ENSG00000254726","MEX3A","protein_coding",575.8191547,0.2825143,0.093401496,3.024729916,0.002488552,0.008895024
"MFGE8","ENSG00000140545","MFGE8","protein_coding",488.3984172,0.678750237,0.106758314,6.357820853,2.05e-10,3.2e-09
"MFSD4","ENSG00000174514","MFSD4","protein_coding",44.52426558,-0.70140894,0.238193724,-2.944699499,0.003232685,0.011163672
"MGAM","ENSG00000257335","MGAM","protein_coding",10.78717212,-1.224135535,0.341728482,-3.582187616,0.000340729,0.001559923
"MGAT4A","ENSG00000071073","MGAT4A","protein_coding",281.4993964,-0.557536381,0.12297598,-4.533701465,5.8e-06,4.05e-05
"MIER1","ENSG00000198160","MIER1","protein_coding",346.2728419,-0.493124672,0.12335193,-3.997705371,6.4e-05,0.000355692
"MKI67","ENSG00000148773","MKI67","protein_coding",4289.896599,0.676877292,0.10386399,6.516958312,7.17e-11,1.19e-09
"MMP16","ENSG00000156103","MMP16","protein_coding",88.89764059,1.134190854,0.196729429,5.765232282,8.15e-09,9.85e-08
"MMS22L","ENSG00000146263","MMS22L","protein_coding",268.2161788,1.366787984,0.143980522,9.492867285,2.25e-21,1.28e-19
"MOB3B","ENSG00000120162","MOB3B","protein_coding",93.96760527,1.145061433,0.208201667,5.499770735,3.8e-08,4.11e-07
"MPP2","ENSG00000108852","MPP2","protein_coding",184.9250678,0.592163367,0.150494702,3.934778836,8.33e-05,0.000447968
"MPP5","ENSG00000072415","MPP5","protein_coding",1028.025413,0.230343023,0.104211354,2.210344784,0.027081243,0.068259346
"MPRIP","ENSG00000133030","MPRIP","protein_coding",6166.789414,0.292437798,0.06325292,4.623309076,3.78e-06,2.75e-05
"MRPL10","ENSG00000159111","MRPL10","protein_coding",820.5651357,-0.375092146,0.08669836,-4.326404168,1.52e-05,9.72e-05
